พรรคกรีน
นายกิติศักดิ์ เดชะผล
นางสาวพัชรพรรณ ลาภกาญจนา
นายรัฐไกร พลายชมภู
นายกนกพล อักษรพันธ์
นายอิทธิศักดิ์ อมรสิริศักดิ์
นางสาวภคอร พงษ์ภักดี
นายศุภกฤต คําสวาสดิ์
นายแสวง มะโนลัย
นายณรงค์ วงหาจักร์
นายเริงชัย โพธิ์ชัยเลิศ
นางมนต์นิภา ไชยแก้ว
นายวชิรศักดิ์ กาลมุล
นางมณีกานต์ หอมชื่น
นายคมกริช พันงาม
นางสาววลัยลักษณ์ ตั้งจิตร
นายสิทธิพร นิยม
นายวัชรา โตะหยม
ว่าที่ร้อยตรีณัฐพงศ์ บุญพรม
นายปรมินทร์ แสงวิริยนันท์
นางณิยารมย์ วงศ์ศร
นายชนะมาร สีมาวงษ์
นายรุ่ง พันธุ์โนชาติ
นายวิโรจน์ บู๊สมัน
นายรอบล หมาดอี
นายพันธุ์ธัช พิลึก
นายไพจิตร์ ฉิมล่องดํา
นางสาวนงเยาว์ สุวรรณตรี
นายทิวา มากพิบาล
นายณรงค์กร กาละสังข์
นายสุรศักดิ์ โอหวาน
ว่าที่ร้อยตรีตะวัน ศุภนนทกร
นายธนาวุฒิ พุทธสุภะ
นายสุชิน เพ็งศรี
นายภักดีพิศุทธ์ พรบุญล้ํา
นายเกียรติเดโช พูลลาภ
นายอนุชิต มะยะเฉียว
นางสาวปภาวรินทร์ จันทร์เทพ
นางสาวณัชฎาภรณ์ โลหะสวรรค์กุล
นางสาวอักษรสวรรค์ นิลศิริ
นางนวลศรี ดวงแป้น
นายศุภกร ทันตา
นายอําพล เกตุสาคร
นายพิเชษฐ์ ขะพินิจ
นายชัชพงศ์ พรหมราช
นายโฆษิต บุญมา
นายสายัณห์ ภูมิจันทร์ทิพย์
นายขจรศักดิ์ เดชะผล
นายโอฬาร ดือราแม
พันจ่าอากาศเอกประทวน โตสําลี
นายวิมล ข้าวงาม
นายวสุวัฒน์ อภิธราเลิศธนนท์
นายจีระพงศ์ ไชยะโส
นายจรัญ ทิศเป็ง
นายกิตติพงศ์ นิยมยาตรา
นายอัครเดช คงแก้ว
นางสาวขวัญชนก เพชรคง
นางมะลิอร คงแก่นท้าว
นางสาวฐิติวรา ท่าชอบ
นายอนงค์ โภคาพานิชย์
นายชัยยา ธรรมศร
นายชยสิทธิ์ กาละมิตร์
นายณฐกร พงศ์สุขสิริวัฒน์
นายเสถียร บุตรทองดี
นายศุภชัย ดีหนู
นางดารา หัสรังค์
นางศิริพร กล้าหาญ
นางสัญญา มูลเพ็ชร
นางสุพรรณิการ์ พุฒนาวงศ์
นางสาวพันธิตรา พลซา
นายภูวนาท พันธุวงศ์
นางสาวเบบี้ โสนะจิตร
นางทัศนา จําปาแก้ว
นางสาวศิริพร สายลือนาม
นางสาวศิวัตรา สิงห์ทอง
นางสาวสุคนธา ดิษเหมาะ
นางสาวณัฐชา โภคาพานิชย์
นางสาวฑิตยากร บุญวงศ์
นางโยษิตา วัชรหิรัญปภา
นางนิจฤดี ไกรยะราช
นายภาคภูมิ กลิ่นทอง
นายรัตพล ปทุมบาล
นายจีระพัฒน์ แจ่มเงินวัฒนากูล
นายสุทิน พิมพ์โพธิ์
นายทินภัทร นาบ้าน
นายนกเล็ก ครองสัตย์
